animal_id,dose_group,event,feature,window,baseline_mean,window_mean,pct_change
9275,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,immediate,8.766031868755718,10.046984300384391,14.612682805709401
9275,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_early,8.766031868755718,13.069705160295332,49.094885302424665
9275,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_sustained,8.766031868755718,11.211190614292182,27.893564410273342
9275,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_early,8.766031868755718,12.181074402433342,38.95767874002
9275,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_late,8.766031868755718,10.11246817158908,15.35970120793641
9275,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_6hr,8.766031868755718,4.945005601096575,-43.58900725969541
9275,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_12hr,8.766031868755718,9.142122751022827,4.290320727758116
9275,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,next_day,8.766031868755718,6.848199756347579,-21.877996123237487
9276,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,immediate,14.088120190798493,12.367033270493634,-12.216583170755237
9276,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_early,14.088120190798493,9.663822548579393,-31.404456963028913
9276,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_sustained,14.088120190798493,10.679169813864739,-24.19734024671563
9276,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_early,14.088120190798493,12.58206352397609,-10.690259924145648
9276,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_late,14.088120190798493,10.829219207773914,-23.132262778061026
9276,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_6hr,14.088120190798493,4.618132938785267,-67.21966539012386
9276,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_12hr,14.088120190798493,9.53922568812662,-32.28886779119712
9276,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,next_day,14.088120190798493,10.827076267822937,-23.147473749588485
9277,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,immediate,9.351112387513721,10.644912940450729,13.835792997895982
9277,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_early,9.351112387513721,14.4109129360371,54.10907642688145
9277,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_sustained,9.351112387513721,11.61032787761594,24.159858169589395
9277,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_early,9.351112387513721,12.343216117519857,31.997302631090268
9277,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_late,9.351112387513721,12.618586892984053,34.94209426713018
9277,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_6hr,9.351112387513721,8.876345552340348,-5.077116127994738
9277,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_12hr,9.351112387513721,9.191095223787553,-1.7112099298457255
9277,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,next_day,9.351112387513721,7.914109892574935,-15.367182377762626
9278,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,immediate,10.403852104357066,11.005376419937651,5.781746121983709
9278,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_early,10.403852104357066,10.716150772739162,3.0017599755316384
9278,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_sustained,10.403852104357066,11.479458110793086,10.338536108039861
9278,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_early,10.403852104357066,11.611299934196046,11.605776569366153
9278,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_late,10.403852104357066,9.352114524241776,-10.109116984418005
9278,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_6hr,10.403852104357066,6.656904897512875,-36.01499876449603
9278,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_12hr,10.403852104357066,7.02619903891131,-32.4654083080556
9278,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,next_day,10.403852104357066,8.43455110947758,-18.92857544615379
9279,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,immediate,8.603951460041106,10.18651254621281,18.3934218309054
9279,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_early,8.603951460041106,9.67078791279848,12.3993778639039
9279,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_sustained,8.603951460041106,11.21582490830504,30.356673447010067
9279,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_early,8.603951460041106,11.26063837421041,30.877520944970694
9279,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,decline_late,8.603951460041106,15.52125119907587,80.3967778195917
9279,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_6hr,8.603951460041106,11.093103830520002,28.93033953107639
9279,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,post_12hr,8.603951460041106,6.036770412973725,-29.83723303170653
9279,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,next_day,8.603951460041106,11.093899433770854,28.93958648295132
9280,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,immediate,8.986749053162171,9.928331974298105,10.477458706879313
9280,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_early,8.986749053162171,12.236146333837286,36.157650129684534
9280,25 mg/kg,Rep1_Dose1,distance_nearest_other.social.animal.cm,peak_sustained,8.986749053162171,11.62728040329511,29.382497881186676
