animal_id,cage_id,date,group,replicate,day,p_lowU
9256,4927,2025-01-24,dose5,Rep2,3,6.213959445416716e-06
9256,4927,2025-01-25,dose5,Rep2,4,0.9976095738516594
9256,4927,2025-01-26,dose5,Rep2,5,0.9999412128987264
9256,4927,2025-01-27,dose5,Rep2,6,0.968754130433783
9256,4927,2025-01-28,dose5,Rep2,7,5.104567771120815e-11
9256,4927,2025-01-29,dose5,Rep2,8,0.9977467879600647
9256,4927,2025-01-30,dose5,Rep2,9,0.9999983031867264
9256,4927,2025-01-31,dose5,Rep2,10,0.9999830218955469
9256,4927,2025-02-01,dose5,Rep2,11,0.9999949410596777
9256,4927,2025-02-02,dose5,Rep2,12,0.9999742259751558
9256,4927,2025-02-03,dose5,Rep2,13,0.9999908767744242
9256,4927,2025-02-04,dose5,Rep2,14,0.9999985214993835
9250,4931,2025-01-23,dose5,Rep2,2,0.11177035148606294
9250,4931,2025-01-24,dose5,Rep2,3,0.9998598661744843
9250,4931,2025-01-25,dose5,Rep2,4,0.7936475539323516
9250,4931,2025-01-26,dose5,Rep2,5,0.06309097599638244
9250,4931,2025-01-27,dose5,Rep2,6,0.0040717338149758526
9250,4931,2025-01-28,dose5,Rep2,7,6.14081921043621e-05
9250,4931,2025-01-29,dose5,Rep2,8,0.109529962741744
9250,4931,2025-01-30,dose5,Rep2,9,0.8242670808735967
9250,4931,2025-01-31,dose5,Rep2,10,0.9521823617588651
9250,4931,2025-02-01,dose5,Rep2,11,0.995103617662604
9250,4931,2025-02-02,dose5,Rep2,12,0.0024067605541414233
9250,4931,2025-02-03,dose5,Rep2,13,0.9951533386643814
9250,4931,2025-02-04,dose5,Rep2,14,0.9902228992157666
9251,4931,2025-01-23,dose5,Rep2,2,1.1725532055757088e-12
9251,4931,2025-01-24,dose5,Rep2,3,4.306316325024947e-27
9251,4931,2025-01-25,dose5,Rep2,4,5.107075791834782e-14
